Participant	Identifier	Condition	Chain	Generation	Trial	SequenceTrace	SequencePosition	TargetCharacter	ProducedCharacter	T.x	T.y	P.x	P.y	CharRT	CharError	TargetArea	ProductionArea
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	6	7	1	h	o	220.72992700729927	160.2919708029197	344.25	211.5	73671	38.67295064790282	996.2723796486225	237.74333436464804
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	6	7	2	d	c	181.31386861313868	118.24817518248175	261.25	84.5	5430	36.36567491473775	818.866898041646	2152.8501229006333
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	6	7	3	æ	z	102.48175182481752	105.1094890510949	325.25	169.5	24766	4.696022121682408	461.24732857816025	2723.978246658815
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	7	11	1	9	å	162.91970802919707	283.7956204379562	98.25	76.5	87468	26.959453339928093	2188.315431957333	439.7290386067066
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	7	11	2	d	Ô	181.31386861313868	118.24817518248175	307.25	243.5	23256	18.95307961000155	818.866898041646	357.6040074054472
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	7	11	3	Ì	â	249.63503649635035	260.1459854014599	129.25	36.5	5398	41.73147468570051	648.4906221648162	3378.0008691937137
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	8	2	1	Z	Z	94.5985401459854	155.03649635036496	100.25	167.5	109248	0	499.6748361970758	499.6748361970758
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	8	2	2	-	Q	199.7080291970803	220.72992700729927	238.25	276.5	41750	52.05280238788771	1332.4525734768504	367.0038678720157
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	8	2	3	c	2	228.61313868613138	120.87591240875912	284.25	80.5	13179	85.62685218494092	2152.8501229006333	3292.213893585469
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	9	9	1	2	2	257.51824817518246	136.64233576642334	262.25	121.5	70308	0	3292.213893585469	3292.213893585469
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	9	9	2	g	t	202.33576642335765	141.8978102189781	322.25	200.5	3675	38.22712199860528	971.8149880900655	623.7386038696277
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	9	9	3	K	M	289.05109489051097	218.1021897810219	319.25	235.5	4309	35.282660049943814	1079.1280067864282	159.23795427215373
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	10	3	1	4	4	204.96350364963504	63.065693430656935	270.25	32.5	50218	0	9982.910451859594	9982.910451859594
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	10	3	2	c	x	228.61313868613138	120.87591240875912	280.25	156.5	9247	85.62685218494092	2152.8501229006333	1087.3408903039654
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	10	3	3	â	z	126.13138686131387	68.32116788321167	335.25	154.5	14448	41.44971752073625	3378.0008691937137	2723.978246658815
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	11	4	1	,	,	254.8905109489051	244.37956204379563	233.25	227.5	30073	0	779.7074442571793	779.7074442571793
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	11	4	2	-	1	199.7080291970803	220.72992700729927	283.25	245.5	14130	17.32879003746861	1332.4525734768504	691.3594884941667
